customer_id,first_name,last_name,email,phone_number,account_type,join_date
10072852,Calvin,Gross,andrearamirez@example.com,917.705.3517,Credit,2021-10-07
10093166,Monica,Rogers,yvonnewheeler@example.net,+1-905-616-0475x9420,Credit,2025-11-24
10240070,Jaclyn,Sutton,angelamorgan@example.com,853.846.5807x6439,Savings,2025-11-08
10241547,Cameron,Mullen,jacksonalexander@example.net,+1-317-834-6441x7133,Credit,2022-05-02
10312951,Allen,Mercer,qmcmahon@example.com,789-364-7974,Credit,2021-12-07
10344403,Tyler,Tucker,bartondavid@example.net,001-218-638-5556x366,Savings,2022-10-19
10450589,Jeremy,Velasquez,jamiehernandez@example.org,7266281288,Credit,2025-08-12
10468454,Sabrina,Rodriguez,karen80@example.com,(908)471-9070x5482,Credit,2023-08-23
10718168,Vanessa,Bradshaw,nicole04@example.org,583-774-2829x34458,Checking,2021-08-15
10950492,Miranda,Lawrence,isabel00@example.org,668.702.5671,Savings,2022-09-17
10976781,Brian,Tucker,epeck@example.net,+1-583-865-6195x1828,Savings,2022-07-27
11050298,Kathryn,Thornton,villegasbarbara@example.com,998.830.2735x46319,Credit,2023-05-03
11073328,Blake,Krueger,rsutton@example.com,001-504-441-8515x659,Credit,2023-02-10
11117990,Jesse,Larson,molly42@example.org,348.374.1486,Checking,2021-10-13
11161031,Brenda,Patterson,nicolas76@example.org,942-572-9253x697,Savings,2023-04-03
11171643,Zoe,Aguilar,betholson@example.net,(373)280-9044x567,Checking,2025-08-01
11362048,Anna,Kennedy,brownpaul@example.net,+1-503-776-3620x912,Savings,2022-01-29
11527050,Melissa,King,wallbrandon@example.org,001-963-707-8616x309,Checking,2024-01-25
11565661,Monique,Hicks,william05@example.com,5046919090,Credit,2024-04-01
11710905,Christine,Mcguire,kelly55@example.com,526.746.2845,Savings,2026-04-02
11770516,Oscar,Yang,parkerclaudia@example.com,984-900-8220x511,Credit,2023-08-17
11827310,Michael,Watson,hardinpatricia@example.net,706-864-7669x2932,Savings,2024-07-13
11866753,Steven,Lester,qwilson@example.org,(568)788-6712x16482,Savings,2022-08-07
11939027,Bradley,Jordan,david96@example.com,383-930-1653x036,Credit,2021-07-15
11959785,Michelle,Mcgee,jonathanthompson@example.net,543-428-8957x76936,Savings,2022-08-23
12045814,Adam,Phillips,christopher80@example.org,954-886-2951x3674,Credit,2023-03-11
12141985,Joshua,Jones,michellemorales@example.org,(634)292-5621,Credit,2025-01-14
12142239,Courtney,Greene,gsmith@example.net,001-981-985-2011,Credit,2025-11-12
12148228,Christopher,Todd,jacob72@example.com,+1-535-764-3880x904,Savings,2022-12-25
12198460,Paul,Nguyen,riosronald@example.org,+1-498-720-3584x406,Checking,2023-01-04
